Participant,City,dem_gender,dem_age,dem_postcode,dem_education,dem_marital,dem_transport_car,dem_transport_public,dem_transport_bicycle,dem_transport_walk,profile_cycling_1,profile_cycling_2,profile_cycling_3,profile_cycling_4,profile_cycling_5,profile_cycling_6,profile_cycling_7,profile_cycling_8,profile_cycling_9,profile_cycling_10,profile_cycling_11,profile_cycling_12,profile_cycling_13,profile_cycling_14,profile_cycling_15,gaming_mobile_time,gaming_money_apps,gaming_apps_basic,gaming_apps_messaging,gaming_apps_lifestyle,gaming_apps_games,gaming_apps_productivity,gaming_apps_news,gaming_play_time,gaming_money_games,gaming_games_simulation,gaming_games_puzzle,gaming_games_action,gaming_games_shooter,gaming_games_combat,gaming_games_firstperson,gaming_games_sports,gaming_games_role,gaming_games_educational,gaming_games_none,gaming_games_other,gaming_app_cycling,gaming_app_cycling_googlefit,gaming_app_cycling_endomondo,gaming_app_cycling_bikecitizens,gaming_app_cycling_fitbit,gaming_app_cycling_strava,gaming_app_cycling_runtastic,gaming_app_cycling_human,gaming_app_cycling_wikiloc,gaming_app_cycling_none,gaming_app_cycling_other,gaming_app_social_foursquare,gaming_app_social_tripadvisor,gaming_app_social_findfriends,gaming_app_social_tinder,gaming_app_social_swarm,gaming_app_social_snapchat,gaming_app_social_waze,gaming_app_social_none,gaming_app_social_other,gaming_wearable_fitnessband,gaming_wearable_vr,gaming_wearable_glasses,gaming_wearable_watch,gaming_wearable_headphone,gaming_wearable_none,gaming_wearable_other,engagement_A1,engagement_A2,engagement_A3,engagement_B1,engagement_B2,engagement_B3,engagement_cycling_2w,engagement_cycling_future,engagement_app_2w,engagement_app_future,engagement_any_app_2w,engagement_any_app_future,satisfaction_cycling,competition_1,competition_2,competition_3,collaboration_1,collaboration_2,collaboration_3,satisfaction_app_1,satisfaction_app_2,engagement_1,engagement_2,comments
11,Münster,1,28,48167,4,3,,1,,,2,2,0,1,2,2,2,2,2,-1,0,1,1,0,0,3,1,1,1,,1,1,1,2,1,1,,1,,,,,,1,,,N,,,,,,,,,,,,1,,,,,,,,,,,,,1,,0,1,1,1,1,0,2,2,1,0,0,0,2,0,1,-1,,,,-1,1,1,0,"The counter for the trips (""Ausfluge"") did not change (remained zero), even after completing various trops. Therefore, I was not sure, if the app was working properly / In general, a very cool idea that will make cycling more enjoyable"
12,Münster,2,26,48149,3,1,1,,1,,2,3,3,2,3,3,3,-1,3,-2,3,3,0,1,0,5,1,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,,,,,,,,,,Spotify,,,,,,,,,Facebook,,,,,,1,,3,-3,-1,3,-1,-3,3,3,-1,0,-1,0,3,,,,3,3,0,1,2,1,2,
13,Münster,1,32,48155,4,1,,1,1,,3,1,-1,1,0,2,1,-1,1,-2,1,1,-3,0,-1,4,1,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,,,,,,,,,,Google Maps,,,,,,,,1,,,,,,,1,,2,-3,-1,2,-2,-1,3,3,-2,-2,-1,0,3,1,-2,-2,,,,2,3,2,2,"A reminder to use the app would be good, It istarts alternativelly when you ride your bike"
14,Münster,1,26,48149,4,2,,1,1,1,-1,-2,2,0,-3,-3,-3,-2,-3,-1,-2,-3,-2,-3,0,4,1,1,1,,1,,,2,1,,,,,,,,1,,,Pokemongo,N,,,,,,,,,,,,,,,,,,,"Facebook, Twitter",1,,,,,,,2,2,-2,2,2,-1,3,2,1,1,-1,0,1,,,,2,-1,-3,1,-1,0,1,
15,Münster,2,29,48145,4,4,,,1,,3,3,1,2,1,3,1,-3,2,-1,1,2,-3,-3,-3,4,1,1,1,,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-2,-2,3,-2,-3,3,3,0,0,-3,-3,3,,,,2,-3,-3,0,2,2,2,I didn't explore the app further | the app should have a reminder for its use. I forgot frequently to use it
16,Münster,2,38,48268,2,1,1,,1,1,2,0,0,2,1,2,1,-1,1,-2,-1,1,0,-2,-2,1,1,1,1,1,,,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,-3,0,2,-2,1,3,3,1,1,0,1,2,-1,-1,-1,,,,2,2,0,1,
17,Münster,2,23,48149,4,2,,,1,1,3,3,0,3,0,0,0,-1,3,-3,0,0,-3,-3,-3,4,1,1,1,1,,1,,1,1,,1,,,,,,,1,,,Y,,,,,1,,,,,Samsung Health,,1,,,,1,,,,,,,,,1,,3,-3,1,3,0,2,3,3,1,2,2,2,3,,,,0,1,0,-1,2,3,3,"I never used the leaderboard: Maybe if it includes people from my curcle of friends, I'd be intereste to compete against them"
18,Münster,2,36,48151,3,4,,,1,,3,-1,0,3,3,3,3,0,3,-3,-2,3,-3,-2,-3,2,1,1,1,,,,1,2,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-3,-1,3,-3,-3,3,3,-3,-3,-3,-3,3,,,,0,2,0,0,3,3,2,
19,Münster,1,38,48145,3,1,,,1,,3,3,1,2,3,3,3,3,-1,-2,1,-1,-2,-2,-2,4,2,1,1,1,,1,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,3,-1,2,3,-3,-3,3,3,-3,-3,-3,-3,3,-3,-1,-3,,,,3,3,3,0,"I use the bike everyday, Difficult to always use the app | a fitness app gives you more accurate info"
20,Münster,2,31,48143,4,2,,,1,,2,2,-1,3,2,2,3,-3,0,-3,1,0,-3,-3,-2,2,1,1,1,,,1,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-3,-2,3,-3,-2,3,3,-2,-2,-2,-3,2,-2,-3,-3,,,,0,2,2,0,I found it really hard to remember to taken on the app when going cycling. Perhaps you could implement the possibility to turn on a reminder
21,Castelló,2,26,12004,3,2,,,1,1,3,3,0,3,3,3,3,3,3,-2,2,3,-2,0,2,2,1,,1,,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-3,-3,3,-3,-3,3,3,2,-3,-3,-3,3,-3,1,-3,,,,1,3,3,3,"M'ha agradat participar a l'experiment, però he tingut alguns problemes amb l'ús de l'aplicació. El meu suggeriment és q per a poder començar a contar el recorregut en bici, s'hagi d'apretar / prénier un botó. Així no s'encendria directament."
22,Castelló,1,32,12003,3,1,,,1,1,3,3,1,2,1,3,3,2,1,-1,2,3,2,1,2,3,1,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,,,,,,,,,,Polar Flow,,,,1,,,,,,,,,,,1,,3,3,3,2,2,2,2,3,3,2,2,2,3,0,1,1,,,,2,1,2,2,
23,Castelló,2,31,12001,4,1,,,1,1,3,3,2,3,3,3,3,-1,3,1,2,3,2,0,1,3,1,,1,,1,,1,1,1,,1,,1,,,,,,,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,0,-2,-3,1,-1,-3,2,3,-1,-1,-2,-2,3,,,,2,2,-2,0,0,2,-1,"Se podría mejorar el detalle de la velocidad y la distancia, porque a veces falla y no sale nada"
24,Castelló,2,32,12004,3,1,1,,1,1,3,3,3,3,3,3,3,-2,-3,-3,-2,3,-3,-3,-1,2,1,1,1,,,1,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-3,-3,3,-1,0,3,3,2,2,2,2,3,0,2,0,,,,2,3,3,3,"Pder revisar mis viajes en el momento que sea, cuenta viaje que no he realizado"
25,Castelló,1,42,12004,3,4,1,,1,,3,3,0,3,3,3,3,-1,3,-3,1,3,-3,3,-3,2,1,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,1,,,,1,,,,,,,,,,,,,,Twitter,,,,,,1,,3,-3,3,3,-3,3,3,3,2,2,3,3,3,,,,3,3,0,-1,3,3,3,Modificar la aplicación para arrancar manualmente
26,Castelló,1,41,12130,3,4,,,1,,3,3,3,3,3,3,3,0,3,-2,0,3,-1,1,-2,4,2,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,,,,,1,,,,,,,1,,,,,,,Whatsapp,,,,,,1,,3,-3,0,3,-3,0,3,3,0,0,2,3,3,0,0,0,,,,0,0,1,0,Debería mejorar el feedback con el usuario y elimiar el inicio automático de la grabación de ruta
27,Castelló,1,45,12003,3,4,1,,1,1,3,1,0,0,3,3,3,-2,-3,-2,3,3,-2,2,2,3,1,,1,,,1,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-3,-2,3,-3,-3,3,3,3,3,3,3,3,-3,-3,-3,,,,1,1,3,3,
28,Castelló,1,43,12005,4,1,1,,1,,3,1,0,3,3,3,-1,3,3,0,3,3,0,-3,2,2,1,1,,,,1,1,1,1,,,,,,,,,,1,,Y,,,,,,,,,,Maps.me / Waze,,,,,,,,,Whatsapp / KIK,,,,,,1,,3,-2,2,2,-3,0,3,3,3,3,3,3,3,,,,3,0,-2,-2,2,3,1,Me suelo olvidar de encender la aplicación antes de comenzar cada viaje (Debería tener la posibilidad de interactuar o enviar mensajes con los ciclistas de la ciudad)
29,Castelló,1,46,12004,3,4,,,1,,3,3,-1,2,3,3,3,1,3,-1,-1,3,-2,-3,-2,2,1,,1,,,,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,-2,-1,1,-3,-1,3,3,0,2,2,2,2,,,,2,3,3,2,2,2,2,Olvidé 2 viajes de ida/vuelta a Benicassim que no quedaron registrados. Una ventaja sería tener la app en el reloj
30,Castelló,2,31,12005,4,4,,,,1,3,3,2,2,3,3,3,2,2,-1,0,3,1,0,1,1,1,1,,,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,-3,-3,,,,,,,,,,,,,,,,,,,,,
31,Castelló,1,15,12539,2,1,,1,1,,3,2,2,1,3,3,1,-2,1,-2,0,3,-3,-1,0,4,1,1,1,,,1,1,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,0,0,3,2,2,3,3,3,3,1,1,3,0,0,0,,,,3,3,1,3,
32,Castelló,2,33,12100,4,3,1,1,1,,3,3,1,3,2,3,3,2,3,0,0,3,-2,-3,0,4,1,,1,1,,1,1,3,1,,,,,,,,,1,,,Y,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,3,-1,3,3,2,-1,3,3,3,3,0,2,3,,,,3,3,3,2,3,3,3,
33,Castelló,1,35,12004,4,3,,1,1,1,3,3,1,,2,3,3,1,3,-3,2,3,1,-1,0,5,3,1,1,1,,1,1,1,1,,,,,,,,,,1,,Y,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,2,-3,3,,,,,,,,,,,,,,,,,,,,,
34,Castelló,1,32,12006,3,1,,,1,,2,1,2,-2,3,3,3,2,3,-1,2,3,-3,0,1,3,1,1,1,1,1,,1,1,1,,,,,,,,1,1,,,Y,,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,2,-2,2,,,,,,,,,,,,,,,,,,,,,
35,Castelló,2,38,12004,4,1,,,1,1,3,3,2,2,3,3,3,0,-3,1,3,3,-2,2,2,5,1,,1,1,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,1,,,,,,,,,,,,,1,,3,-2,1,,,,,,,,,,,,,,,,,,,,,
36,Castelló,2,33,12003,4,1,,1,1,1,2,2,-1,2,3,3,2,-2,1,-1,2,2,-2,-1,-2,4,1,1,1,1,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,1,,,,,,,"Instagram, Google Local Guide",,,,,,1,,3,-3,0,,,,,,,,,,,,,,,,,,,,,
37,Castelló,1,43,12100,2,4,1,,1,,3,3,3,3,-3,3,3,0,3,0,0,3,0,0,0,5,2,,1,1,1,1,,1,1,1,,1,,,,,,,,,Y,,,,,1,,,,,Salud Huawei,,,,,,,,,Whatsapp,,,,,,1,,3,-3,3,,,,,,,,,,,,,,,,,,,,,
38,Castelló,1,44,12100,2,2,,,1,1,3,3,3,3,3,3,3,1,3,0,3,3,0,-3,-3,4,1,1,1,,,,,1,1,,,,,,,,,,1,,N,,,,,,,,,,,,,,,,,,,Whatsapp,,,,,,1,,3,-3,-2,,,,,,,,,,,,,,,,,,,,,
39,Castelló,2,45,12002,2,2,1,1,1,1,3,3,3,3,3,3,3,2,3,-2,1,3,0,1,2,4,1,1,1,,1,1,,1,1,,,,1,,,,,,,,N,,,,,,,,,,,,,,,,,,,Facebook,,,,,,1,,2,-1,-1,,,,,,,,,,,,,,,,,,,,,
